galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J_new,log10_J_new,k_optimal,log10_k_optimal,chi2_reduced,mean_error,mean_error_pct
UGC09133,57.1,108.31,229.0,2.779565e+67,67.44397683444986,1.0264848037716876e-37,-36.98864747560362,785.8703088888271,0.24676554419763108,24.676554419763107
UGC09992,10.7,3.89,34.3,1.561676e+63,63.193590936066386,1.8831208285380624e-35,-34.72512181302434,0.0954360431933925,0.04812638344611372,4.812638344611372
UGC10310,15.2,7.74,73.2,4.623025e+64,64.66492624198506,4.379608112747555e-36,-35.35856474841954,9.21690342867557,0.2545488565088065,25.454885650880648
UGC11455,78.6,41.93,266.0,5.361745e+67,67.72930615546441,1e-45,-45.0,39.31906379841807,0.2106877625775837,21.06877625775837
UGC11557,24.2,10.56,84.5,3.093341e+65,65.49042779787428,1e-45,-45.0,6.614979905556587,0.8001143784647993,80.01143784647992
UGC11820,18.1,15.82,84.45,1.138749e+65,65.05642800860264,5.0190393982418526e-36,-35.29937939519822,310.2179611455746,1.5635475603302935,156.35475603302936
UGC11914,16.9,9.83,305.0,4.89711e+66,66.68993985934934,1e-45,-45.0,14.794124029041184,0.06823326014393742,6.823326014393742
UGC12506,100.6,49.99,225.0,2.567288e+67,67.40947459083542,3.508844259823009e-37,-36.45483590753281,18.338313529913112,0.2971631861794021,29.716318617940207
UGC12632,9.77,10.66,73.1,3.684909e+64,64.56642676728711,1.1124724386288378e-35,-34.95371073980742,29.218754296256076,0.42187216894815444,42.18721689481544
UGC12732,13.2,15.4,98.0,1.315176e+65,65.11898387504188,4.322584743558292e-36,-35.36425648369916,69.51654011383634,0.3820416871240521,38.20416871240521
UGCA281,5.68,1.08,29.5,3.398677e+61,61.53130989250798,4.089387525346853e-34,-33.38834173215901,4.164439229424122,0.2120530083183659,21.205300831836592
UGCA442,4.35,6.33,56.5,2.213415e+63,63.34506284877262,6.487231120030173e-35,-34.18794062922166,148.5289061067563,0.587046140029468,58.7046140029468
UGCA444,0.98,2.62,38.3,1.000159e+62,62.000069047333504,2.4920302965882685e-34,-33.603446682092674,4.175936983773578,0.3339933940315413,33.39933940315413
